animal,age,temperature,symptom 1,symptom 2,symptom 3,disease
cow,13,104.4,difficulty walking,loss of appetite,swelling in muscle,blackleg
goat,7,104.8,coughing,loss of appetite,depression,pneumonia
sheep,8,101.9,blisters on tongue,loss of appetite,lameness,foot and mouth
buffalo,6,102.7,depression,loss of appetite,painless lumps,lumpy skin disease
goat,7,101.1,depression,painless lumps,loss of appetite,lumpy skin disease
goat,5,104.7,loss of appetite,coughing,depression,pneumonia
sheep,5,101.0,depression,crackling sound,lameness,blackleg
cow,5,101.5,painless lumps,loss of appetite,depression,lumpy skin disease
sheep,3,38.2,restlessness,kicking abdomen,excessive salivation,bloat
goat,6,101.9,depression,painless lumps,loss of appetite,lumpy skin disease
buffalo,6,39.3,salivation,coughing,difficulty breathing,pasteurellosis
goat,4,38.6,retained placenta,infertility,abortion,brucellosis
cow,9,40.9,nasal discharge,depression,loss of appetite,pasteurellosis
cow,13,100.4,blisters on gums,loss of appetite,lameness,foot and mouth
goat,10,103.9,depression,loss of appetite,nasal discharge,pneumonia
sheep,5,102.5,loss of appetite,painless lumps,depression,lumpy skin disease
cow,12,101.8,depression,loss of appetite,coughing,pneumonia
goat,3,102.8,crackling sound,swelling in muscle,depression,blackleg
goat,5,41.1,loss of appetite,swelling in neck,weakness,pasteurellosis
buffalo,12,101.0,swelling in limb,crackling sound,difficulty walking,blackleg
goat,6,102.7,depression,loss of appetite,painless lumps,lumpy skin disease
cow,15,104.5,nasal discharge,loss of appetite,depression,pneumonia
cow,1,101.3,depression,painless lumps,loss of appetite,lumpy skin disease
buffalo,11,101.3,difficulty walking,swelling in muscle,depression,blackleg
sheep,10,100.4,loss of appetite,difficulty walking,blisters on gums,foot and mouth
sheep,8,100.4,loss of appetite,difficulty walking,depression,blackleg
sheep,6,40.9,weakness,nasal discharge,swelling in neck,pasteurellosis
goat,3,37.2,coughing,weakness,loss of appetite,pasteurellosis
cow,11,104.6,depression,painless lumps,loss of appetite,lumpy skin disease
sheep,1,102.1,depression,difficulty walking,crackling sound,blackleg
sheep,4,39.3,weakness,high fever,depression,pasteurellosis
goat,2,101.3,difficult breathing,depression,loss of appetite,pneumonia
goat,1,103.5,nasal discharge,loss of appetite,depression,pneumonia
buffalo,1,104.1,loss of appetite,lameness,crackling sound,blackleg
sheep,1,40.9,swelling in neck,difficulty breathing,high fever,pasteurellosis
cow,9,39.2,depression,bloody discharge,swollen limbs,blackleg
goat,3,104.1,sores on gums,loss of appetite,difficulty walking,foot and mouth
cow,13,102.5,painless lumps,loss of appetite,depression,lumpy skin disease
goat,2,103.3,crackling sound,swelling in limb,difficulty walking,blackleg
goat,8,39.3,nasal discharge,salivation,depression,pasteurellosis
cow,1,39.1,fatigue,salivation,coughing,pasteurellosis
goat,3,103.1,loss of appetite,blisters on gums,difficulty walking,foot and mouth
cow,5,100.7,nasal discharge,depression,loss of appetite,pneumonia
goat,3,40.9,weakness,loss of appetite,high fever,pasteurellosis
buffalo,6,103.5,loss of appetite,lameness,blisters on tongue,foot and mouth
sheep,8,40.1,weakness,depression,coughing,pasteurellosis
goat,7,37.6,udder redness,milk clots,painful udder,mastitis
goat,6,102.2,loss of appetite,crackling sound,swelling in limb,blackleg
buffalo,15,100.3,difficult breathing,loss of appetite,depression,pneumonia
goat,7,41.5,coughing,swelling in neck,nasal discharge,pasteurellosis
goat,9,38.6,swollen joints,retained placenta,reduced milk yield,brucellosis
cow,11,101.2,lameness,swelling in muscle,crackling sound,blackleg
goat,6,102.9,loss of appetite,depression,painless lumps,lumpy skin disease
goat,3,101.8,blisters on gums,loss of appetite,lameness,foot and mouth
cow,14,102.4,depression,loss of appetite,painless lumps,lumpy skin disease
sheep,6,38.1,swelling in neck,high fever,depression,pasteurellosis
sheep,9,104.1,depression,loss of appetite,nasal discharge,pneumonia
cow,8,37.4,nasal discharge,depression,high fever,pasteurellosis
goat,5,38.6,sores on mouth,sores on hooves,loss of appetite,foot and mouth disease
sheep,9,101.8,sores on tongue,lameness,loss of appetite,foot and mouth
cow,12,102.0,loss of appetite,depression,painless lumps,lumpy skin disease
buffalo,15,101.2,loss of appetite,depression,nasal discharge,pneumonia
cow,7,38.5,reduced milk yield,lameness,fever,foot and mouth disease
goat,7,101.6,blisters on gums,loss of appetite,lameness,foot and mouth
goat,5,102.7,lameness,depression,loss of appetite,blackleg
cow,12,102.8,depression,painless lumps,loss of appetite,lumpy skin disease
goat,8,104.9,difficulty walking,crackling sound,swelling in muscle,blackleg
cow,3,100.8,swelling in muscle,loss of appetite,crackling sound,blackleg
goat,7,103.0,painless lumps,loss of appetite,depression,lumpy skin disease
cow,12,102.5,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
buffalo,5,40.7,nasal discharge,watering eyes,fever,lumpy skin disease
sheep,3,101.7,depression,painless lumps,loss of appetite,lumpy skin disease
sheep,2,40.7,bloody discharge,depression,crepitation under skin,blackleg
sheep,3,38.6,sudden death,weakness,depression,enterotoxemia
goat,7,103.8,lameness,depression,crackling sound,blackleg
buffalo,8,101.7,loss of appetite,lameness,sores on mouth,foot and mouth
sheep,2,38.1,weakness,coughing,difficulty breathing,pasteurellosis
buffalo,2,102.2,coughing,loss of appetite,depression,pneumonia
cow,1,103.8,coughing,depression,loss of appetite,pneumonia
buffalo,10,102.2,loss of appetite,depression,nasal discharge,pneumonia
buffalo,6,39.3,nasal discharge,coughing,fatigue,pasteurellosis
cow,2,37.9,weakness,swelling in neck,difficulty breathing,pasteurellosis
sheep,9,104.7,depression,painless lumps,loss of appetite,lumpy skin disease
cow,4,100.4,lameness,depression,loss of appetite,blackleg
goat,4,101.1,depression,loss of appetite,nasal discharge,pneumonia
cow,8,101.9,loss of appetite,lameness,sores on tongue,foot and mouth
cow,7,103.7,loss of appetite,depression,crackling sound,blackleg
cow,14,103.2,loss of appetite,depression,painless lumps,lumpy skin disease
cow,9,104.7,loss of appetite,blisters on tongue,lameness,foot and mouth
buffalo,9,101.1,painless lumps,depression,loss of appetite,lumpy skin disease
goat,6,103.7,depression,crackling sound,swelling in limb,blackleg
goat,6,101.2,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
sheep,3,39.1,salivation,depression,loss of appetite,pasteurellosis
cow,1,39.1,swelling in neck,loss of appetite,weakness,pasteurellosis
buffalo,9,104.4,lameness,blisters on hooves,loss of appetite,foot and mouth
goat,6,100.4,loss of appetite,crackling sound,depression,blackleg
cow,6,40.2,difficulty breathing,fatigue,weakness,pasteurellosis
sheep,5,104.3,loss of appetite,depression,painless lumps,lumpy skin disease
buffalo,13,104.9,depression,difficulty walking,loss of appetite,blackleg
cow,8,101.4,depression,painless lumps,loss of appetite,lumpy skin disease
buffalo,2,39.9,weakness,fatigue,depression,pasteurellosis
goat,7,101.9,depression,nasal discharge,loss of appetite,pneumonia
goat,5,38.4,sores on mouth,lameness,salivation,foot and mouth disease
sheep,5,100.2,loss of appetite,swelling in muscle,difficulty walking,blackleg
sheep,3,41.5,swelling in neck,weakness,salivation,pasteurellosis
sheep,6,101.1,crackling sound,swelling in limb,lameness,blackleg
cow,15,100.6,loss of appetite,painless lumps,depression,lumpy skin disease
buffalo,7,40.9,high fever,nasal discharge,salivation,pasteurellosis
buffalo,4,102.5,depression,nasal discharge,loss of appetite,pneumonia
sheep,6,101.6,crackling sound,loss of appetite,depression,blackleg
buffalo,14,103.0,depression,painless lumps,loss of appetite,lumpy skin disease
sheep,6,38.6,fatigue,diarrhea,rough coat,parasite infestation
buffalo,11,100.1,depression,painless lumps,loss of appetite,lumpy skin disease
goat,3,104.1,loss of appetite,lameness,blisters on tongue,foot and mouth
buffalo,13,102.6,depression,loss of appetite,nasal discharge,pneumonia
goat,10,101.1,lameness,swelling in muscle,loss of appetite,blackleg
sheep,1,102.1,loss of appetite,sores on mouth,difficulty walking,foot and mouth
sheep,7,102.9,sores on gums,loss of appetite,lameness,foot and mouth
goat,9,104.5,loss of appetite,crackling sound,difficulty walking,blackleg
sheep,1,40.9,sudden death,loss of appetite,abdominal swelling,bloat
cow,1,100.3,loss of appetite,depression,painless lumps,lumpy skin disease
cow,1,102.9,loss of appetite,depression,coughing,pneumonia
goat,7,103.1,nasal discharge,depression,loss of appetite,pneumonia
cow,13,100.8,crackling sound,swelling in limb,depression,blackleg
goat,4,100.6,depression,swelling in limb,crackling sound,blackleg
buffalo,6,40.1,lameness,depression,sudden death,blackleg
goat,7,40.9,skin nodules,nasal discharge,fever,lumpy skin disease
buffalo,6,38.6,infertility,weight loss,weakness,brucellosis
sheep,9,101.2,coughing,depression,loss of appetite,pneumonia
goat,3,103.3,lameness,loss of appetite,blisters on mouth,foot and mouth
sheep,2,39.0,kicking abdomen,restlessness,loss of appetite,bloat
goat,1,104.4,swelling in muscle,depression,difficulty walking,blackleg
sheep,7,100.9,loss of appetite,sores on mouth,difficulty walking,foot and mouth
cow,10,103.2,depression,loss of appetite,coughing,pneumonia
cow,2,103.8,depression,loss of appetite,nasal discharge,pneumonia
buffalo,3,100.5,crackling sound,difficulty walking,depression,blackleg
buffalo,6,104.4,blisters on mouth,loss of appetite,lameness,foot and mouth
buffalo,1,40.1,excessive salivation,sudden death,difficulty breathing,bloat
sheep,4,102.3,coughing,loss of appetite,depression,pneumonia
sheep,1,104.2,loss of appetite,painless lumps,depression,lumpy skin disease
sheep,9,101.8,swelling in muscle,crackling sound,depression,blackleg
goat,3,104.9,loss of appetite,crackling sound,lameness,blackleg
goat,7,100.3,difficulty walking,loss of appetite,blisters on gums,foot and mouth
buffalo,3,102.7,loss of appetite,difficulty walking,depression,blackleg
sheep,1,102.2,difficulty walking,loss of appetite,blisters on gums,foot and mouth
cow,8,104.0,depression,loss of appetite,painless lumps,lumpy skin disease
sheep,9,101.8,sores on mouth,difficulty walking,loss of appetite,foot and mouth
cow,2,40.1,difficulty breathing,weakness,salivation,pasteurellosis
sheep,1,102.5,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
sheep,6,38.6,salivation,swelling in neck,depression,pasteurellosis
cow,7,100.8,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
sheep,4,40.1,salivation,coughing,swelling in neck,pasteurellosis
